INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
The University of Texas at Austin,-97.73929863,30.28609522,Austin,TX,The University of Texas at Austin,Engineering,11,-97.73929863,30.28609522
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Engineering,14,-76.48308636,42.44720849
Texas A & M University-College Station,-96.33648229,30.61873134,College Station,TX,Texas A & M University-College Station,Engineering,15,-96.33648229,30.61873134
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Engineering,16,-118.4439132,34.06889685
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Engineering,17,-76.62159719,39.32898489
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Engineering,17,-74.65936664,40.34874016
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Engineering,17,-75.19391178,39.95093706
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Engineering,20,-87.67986378,42.05036388
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Medicine,1,-79.05097174,35.91177609
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,University of Washington-Seattle Campus,Medicine,2,-122.3131299,47.65621862
University of California-San Francisco,-122.4580622,37.76274094,San Francisco,CA,University of California-San Francisco,Medicine,3,-122.4580622,37.76274094
Baylor College of Medicine,-95.39575001,29.71060519,Houston,TX,Baylor College of Medicine,Medicine,4,-95.39575001,29.71060519
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Medicine,5,-118.4439132,34.06889685
Oregon Health & Science University,-122.6861105,45.49877746,Portland,OR,Oregon Health & Science University,Medicine,6,-122.6861105,45.49877746
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Medicine,6,-83.74277362,42.27592913
University of Nebraska Medical Center,-95.97397403,41.25631925,Omaha,NE,University of Nebraska Medical Center,Medicine,8,-95.97397403,41.25631925
University of California-Davis,-121.7519712,38.53990006,Davis,CA,University of California-Davis,Medicine,9,-121.7519712,38.53990006
University of Minnesota-Twin Cities,-93.23535974,44.977894,Minneapolis,MN,University of Minnesota-Twin Cities,Medicine,10,-93.23535974,44.977894
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Medicine,10,-75.19391178,39.95093706
University of Colorado,-104.837002,39.742394,Aurora,CO,University of Colorado,Medicine,12,-104.837002,39.742394
Washington University in St Louis,-90.31061022,38.64793614,Saint Louis,MO,Washington University in St Louis,Medicine,12,-90.31061022,38.64793614
University of Pittsburgh-Pittsburgh Campus,-79.9546953,40.44450997,Pittsburgh,PA,University of Pittsburgh-Pittsburgh Campus,Medicine,14,-79.9546953,40.44450997
University of Massachusetts Medical School Worcester,-71.76068982,42.27759763,Worcester,MA,University of Massachusetts Medical School Worcester,Medicine,15,-71.76068982,42.27759763
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Medicine,16,-89.4053624,43.07386595
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Medicine,17,-71.11831361,42.37447967
Dartmouth College,-72.28995008,43.70412388,Hanover,NH,Dartmouth College,Medicine,18,-72.28995008,43.70412388
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Medicine,18,-87.60120173,41.78917784
University of Texas Southwestern Medical Center,-96.84116354,32.81231274,Dallas,TX,University of Texas Southwestern Medical Center,Medicine,18,-96.84116354,32.81231274
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Nursing,1,-76.62159719,39.32898489
Duke University,-78.93762671,36.00114212,Durham,NC,Duke University,Nursing,2,-78.93762671,36.00114212
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Nursing,3,-75.19391178,39.95093706
Emory University,-84.32551619,33.79018945,Atlanta,GA,Emory University,Nursing,4,-84.32551619,33.79018945
Columbia University in the City of New York,-73.96188644,40.80829428,New York,NY,Columbia University in the City of New York,Nursing,5,-73.96188644,40.80829428
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Nursing,5,-79.05097174,35.91177609
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Nursing,5,-72.92668914,41.31116641
Ohio State University-Main Campus,-83.0090052,39.99839675,Columbus,OH,Ohio State University-Main Campus,Nursing,8,-83.0090052,39.99839675
Rush University,-87.66750376,41.87491885,Chicago,IL,Rush University,Nursing,8,-87.66750376,41.87491885
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Nursing,8,-83.74277362,42.27592913
Vanderbilt University,-86.80337404,36.14659683,Nashville,TN,Vanderbilt University,Nursing,8,-86.80337404,36.14659683
New York University,-73.99726545,40.72946026,New York,NY,New York University,Nursing,12,-73.99726545,40.72946026
"University of Maryland, Baltimore",-76.62498319,39.29173788,Baltimore,MD,"University of Maryland, Baltimore",Nursing,12,-76.62498319,39.29173788
University of Pittsburgh-Pittsburgh Campus,-79.9546953,40.44450997,Pittsburgh,PA,University of Pittsburgh-Pittsburgh Campus,Nursing,12,-79.9546953,40.44450997
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,University of Washington-Seattle Campus,Nursing,12,-122.3131299,47.65621862
Case Western Reserve University,-81.6057729,41.50082009,Cleveland,OH,Case Western Reserve University,Nursing,16,-81.6057729,41.50082009
University of Illinois at Chicago,-87.65115076,41.87265885,Chicago,IL,University of Illinois at Chicago,Nursing,16,-87.65115076,41.87265885
University of Alabama at Birmingham,-86.79934988,33.50570329,Birmingham,AL,University of Alabama at Birmingham,Nursing,18,-86.79934988,33.50570329
University of California-San Francisco,-122.4580622,37.76274094,San Francisco,CA,University of California-San Francisco,Nursing,18,-122.4580622,37.76274094
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Nursing,20,-118.4439132,34.06889685
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Fine Arts,1,-72.92668914,41.31116641
Virginia Commonwealth University,-77.45359934,37.54763849,Richmond,VA,Virginia Commonwealth University,Fine Arts,2,-77.45359934,37.54763849
School of the Art Institute of Chicago,-87.62141675,41.87965385,Chicago,IL,School of the Art Institute of Chicago,Fine Arts,4,-87.62141675,41.87965385
Columbia University in the City of New York,-73.96188644,40.80829428,New York,NY,Columbia University in the City of New York,Fine Arts,6,-73.96188644,40.80829428
Alfred University,-77.78810876,42.2544844,Alfred,NY,Alfred University,Fine Arts,9,-77.78810876,42.2544844
Maryland Institute College of Art,-76.62103519,39.30879988,Baltimore,MD,Maryland Institute College of Art,Fine Arts,9,-76.62103519,39.30879988
Bard College,-73.9099285,42.02039451,Annandale-On-Hudson,NY,Bard College,Fine Arts,13,-73.9099285,42.02039451
California College of the Arts,-122.3994642,37.76748994,San Francisco,CA,California College of the Arts,Fine Arts,15,-122.3994642,37.76748994
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Fine Arts,15,-122.1644471,37.42953693
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Fine Arts,15,-89.4053624,43.07386595
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Fine Arts,2,-118.4439132,34.06889685
Rhode Island School of Design,-71.40769267,41.82594356,Providence,RI,Rhode Island School of Design,Fine Arts,4,-71.40769267,41.82594356
